# Version 1.00
#
# Ref Impedances: Z01: 50
# 
freq[Hz];mag:Smith_S11[U];ang:Smith_S11[°];Magnitude_S11[dB];Phase_S11[°];
1.766000000000000E+08;5.862549443805839E-01;-1.037993244274866E+02;-4.638269629822105E+00;-1.037993244274866E+02;
1.772000000000000E+08;5.887645419378568E-01;-1.083041753192864E+02;-4.601167061197307E+00;-1.083041753192864E+02;
1.778000000000000E+08;5.917810971893827E-01;-1.127138752135669E+02;-4.556778225800898E+00;-1.127138752135669E+02;
1.784000000000000E+08;5.956321398316760E-01;-1.171925879527458E+02;-4.500437522126106E+00;-1.171925879527458E+02;
1.790000000000000E+08;5.990553889290233E-01;-1.218284478939156E+02;-4.450660413845621E+00;-1.218284478939156E+02;
1.796000000000000E+08;6.005907002450588E-01;-1.265407841274396E+02;-4.428427937030571E+00;-1.265407841274396E+02;
1.802000000000000E+08;6.002628859261315E-01;-1.311542790139175E+02;-4.433170162226878E+00;-1.311542790139175E+02;
1.808000000000000E+08;5.994848345390965E-01;-1.355234410975521E+02;-4.444435979719442E+00;-1.355234410975521E+02;
1.814000000000000E+08;5.989934541542186E-01;-1.397147415455957E+02;-4.451558471754191E+00;-1.397147415455957E+02;
1.820000000000000E+08;6.001463165578720E-01;-1.437654197110566E+02;-4.434857101428893E+00;-1.437654197110566E+02;
1.826000000000000E+08;6.037032485719438E-01;-1.478031458088071E+02;-4.383529743388605E+00;-1.478031458088071E+02;
1.832000000000000E+08;6.094538960456640E-01;-1.519657610010620E+02;-4.301182846040158E+00;-1.519657610010620E+02;
1.838000000000000E+08;6.161561424200845E-01;-1.563370555126272E+02;-4.206184354163156E+00;-1.563370555126272E+02;
1.844000000000000E+08;6.227404660544605E-01;-1.609682521486172E+02;-4.113858252838625E+00;-1.609682521486172E+02;
1.850000000000000E+08;6.269162455833007E-01;-1.658054447625322E+02;-4.055809518653350E+00;-1.658054447625322E+02;
1.856000000000000E+08;6.286642814428854E-01;-1.706279539764609E+02;-4.031624281557665E+00;-1.706279539764609E+02;
1.862000000000000E+08;6.289789861656753E-01;-1.753075144710440E+02;-4.027277276936900E+00;-1.753075144710440E+02;
1.868000000000000E+08;6.289709196878253E-01;-1.798519470608684E+02;-4.027388671732587E+00;-1.798519470608684E+02;
1.874000000000000E+08;6.300847712239944E-01;1.756852023571354E+02;-4.012020337972348E+00;1.756852023571354E+02;
1.880000000000000E+08;6.322918837121956E-01;1.712443338094300E+02;-3.981647857698309E+00;1.712443338094300E+02;
